GeoFips,GeoName,LineCode,Description,2019
36103,"Suffolk, NY",1,Personal income (thousands of dollars),106183846
36103,"Suffolk, NY",2,Population (persons) 1/,1476601
36103,"Suffolk, NY",3,Per capita personal income (dollars) 2/,71911
36105,"Sullivan, NY",1,Personal income (thousands of dollars),3677559
36105,"Sullivan, NY",2,Population (persons) 1/,75432
36105,"Sullivan, NY",3,Per capita personal income (dollars) 2/,48753
36107,"Tioga, NY",1,Personal income (thousands of dollars),2264046
36107,"Tioga, NY",2,Population (persons) 1/,48203
36107,"Tioga, NY",3,Per capita personal income (dollars) 2/,46969
36109,"Tompkins, NY",1,Personal income (thousands of dollars),4750972
36109,"Tompkins, NY",2,Population (persons) 1/,102180
36109,"Tompkins, NY",3,Per capita personal income (dollars) 2/,46496
36111,"Ulster, NY",1,Personal income (thousands of dollars),9412460
36111,"Ulster, NY",2,Population (persons) 1/,177573
36111,"Ulster, NY",3,Per capita personal income (dollars) 2/,53006
36113,"Warren, NY",1,Personal income (thousands of dollars),3528483
36113,"Warren, NY",2,Population (persons) 1/,63944
36113,"Warren, NY",3,Per capita personal income (dollars) 2/,55181
36115,"Washington, NY",1,Personal income (thousands of dollars),2581625
36115,"Washington, NY",2,Population (persons) 1/,61204
36115,"Washington, NY",3,Per capita personal income (dollars) 2/,42181
36117,"Wayne, NY",1,Personal income (thousands of dollars),4305806
36117,"Wayne, NY",2,Population (persons) 1/,89918
36117,"Wayne, NY",3,Per capita personal income (dollars) 2/,47886
36119,"Westchester, NY",1,Personal income (thousands of dollars),109790050
36119,"Westchester, NY",2,Population (persons) 1/,967506
36119,"Westchester, NY",3,Per capita personal income (dollars) 2/,113477
36121,"Wyoming, NY",1,Personal income (thousands of dollars),1720948
36121,"Wyoming, NY",2,Population (persons) 1/,39859
36121,"Wyoming, NY",3,Per capita personal income (dollars) 2/,43176
36123,"Yates, NY",1,Personal income (thousands of dollars),1018369
36123,"Yates, NY",2,Population (persons) 1/,24913
36123,"Yates, NY",3,Per capita personal income (dollars) 2/,40877
